"가정별","성별","연령별",1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","45 - 49세",1583123,1659875,1756088,1851271,1928379,2001786,2066471,2119340,2166942,2211518,2230327,2219245,2166709,2155466,2180285,2246633,2335451,2418904,2478292,2553587,2613214,2716095,2921443,3160621,3346133,3569142,3802111,3958097,4139484,4248784,4354664,4321262,4271709,4191090,4173386,4125313,4295086,4354036,4441770,4506942,4553179,4487622,4385732,4210888,4057029,3921880,3816168,3852109
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","50 - 54세",1261600,1289291,1324926,1376616,1444187,1517874,1600217,1686760,1772028,1852866,1927566,1994986,2021714,2066185,2111226,2126067,2111389,2090711,2074866,2103395,2173953,2270251,2365862,2427537,2505591,2568222,2664066,2861891,3106401,3287112,3524016,3761143,3934363,4163908,4263019,4364665,4334785,4289039,4170297,4163840,4122273,4297890,4338269,4423203,4481723,4517041,4445725,4354882
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","55 - 59세",1047164,1097369,1130835,1144240,1159080,1181647,1215411,1258578,1306470,1369732,1441506,1516598,1589504,1674389,1749203,1820265,1881895,1927926,1961234,2011322,2029040,2016474,2006389,2008937,2041047,2105442,2196938,2285610,2363424,2441497,2518813,2611705,2817315,3065255,3241925,3457310,3699016,3884217,4134915,4225899,4340508,4295393,4237067,4111535,4106280,4061077,4231801,4278091
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","60 - 64세",793066,811766,835876,860174,893176,935774,977601,1010305,1035168,1055954,1079622,1111801,1156731,1205934,1267444,1332971,1404302,1488523,1587609,1659101,1724288,1779701,1817056,1859995,1915420,1950647,1946812,1946175,1933740,1963549,2024598,2117041,2212040,2302960,2377804,2443552,2541221,2750831,2994342,3170368,3389068,3627949,3814370,4064463,4144198,4252206,4200087,4143522
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","65 - 69세",596346,608411,623957,640668,658652,674263,690739,712208,739370,774362,816658,866053,900851,919104,938875,965304,1002718,1048214,1100172,1164709,1229902,1298093,1381212,1461093,1528114,1592234,1649747,1689609,1734658,1804867,1866427,1870279,1878314,1846336,1874691,1914508,2005729,2105631,2210004,2286519,2356588,2448622,2662232,2895582,3063244,3273593,3507325,3685447
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","70 - 74세",378315,405381,425995,441394,459713,475169,489218,506353,517741,535655,553867,570640,598852,619032,649470,690656,733184,766793,788665,813599,842637,881165,922213,963947,1023257,1081502,1140499,1214841,1294801,1362205,1426335,1492503,1539637,1587018,1674052,1754449,1763752,1779544,1729122,1756800,1795390,1886106,1990347,2090931,2167931,2240360,2328861,2533229
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","75 - 79세",223042,221813,227859,235639,254134,270403,288285,308108,317362,328409,341072,353200,393129,411385,425260,432880,441816,459426,484221,509498,540375,576492,608084,629856,654403,678767,713772,751853,791754,844714,898014,954171,1025532,1101326,1167399,1228474,1298398,1350503,1400166,1494315,1579149,1589635,1608464,1567531,1600887,1643360,1730805,1828637
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","80세이상",159459,169337,178222,180478,186916,194699,205373,215180,226263,238002,250263,263092,302252,316920,332251,348153,364774,382219,421824,441505,456139,467826,483387,516029,551171,587361,626285,664484,704601,748890,797816,859933,922626,980499,1050587,1125228,1209247,1305490,1417791,1528426,1634958,1764631,1890824,2017303,2186350,2342620,2441335,2537941
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","80 - 84세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,310114,329611,350265,375966,404920,429246,448312,470006,492598,528386,565597,599815,643644,687406,733018,793916,867222,930279,987409,1055839,1109242,1157941,1246971,1325872,1337468,1352964
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","85 - 89세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128397,138867,150508,158543,165287,173940,188510,203971,224477,244803,261945,275332,290468,305257,335355,363551,391295,425167,458588,497418,548700,606100,657653,704923,758529,799600
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","90 - 94세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37139,39163,41466,43367,46025,50264,56026,62191,67293,71866,77964,86046,95044,109626,116393,120958,128909,138080,147576,168248,187321,204369,227083,249986,274908,306778
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","95 - 99세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6758,7294,7704,8184,8700,9516,10113,10958,11541,12800,14866,16966,18920,20321,21645,23923,26886,31033,37233,38355,40208,43186,48069,53667,62196,69956
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","전체","100세 이상",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,979,1094,1228,1301,1353,1518,1640,1764,1907,2078,2254,2340,2511,2618,2836,3142,3479,3867,4152,4771,5353,5707,6574,8172,8234,8643
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","계",18637254,18929361,19235736,19535680,19837392,20129120,20375175,20575600,20771997,20959980,21155226,21357389,21568181,21783914,22013655,22242554,22472496,22705329,22924512,23148092,23295727,23457837,23666769,23854971,23991377,24120872,24210740,24243234,24369561,24491190,24671648,24774341,24881114,25069867,25187380,25285319,25445077,25585894,25670949,25736793,25857689,25948706,25925697,25857805,25790370,25749708,25714669,25682920
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","0 - 4세",2122886,2081358,2087411,2109966,2129549,2136203,2084255,1995049,1908721,1806973,1741382,1722889,1687147,1711889,1760364,1812752,1859029,1893876,1895407,1872827,1829498,1766586,1716148,1658958,1573834,1488560,1409160,1315045,1227097,1192170,1191039,1174722,1172828,1193656,1200629,1188302,1179604,1175609,1148547,1102364,1045183,989933,911251,830125,760945,704930,658089,629242
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","5 - 9세",2408848,2383807,2314435,2229556,2153742,2096080,2060357,2046870,2073931,2109423,2123004,2078155,1991341,1892414,1790092,1711765,1671042,1664291,1689685,1736754,1792374,1842718,1877208,1881924,1858210,1808293,1752569,1698879,1641923,1556291,1468935,1393600,1300568,1214418,1180798,1179593,1163582,1161732,1183575,1188607,1176909,1169113,1168681,1142585,1096835,1037417,978196,900132
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","10 - 14세",2269220,2273652,2305805,2342517,2378037,2386003,2366607,2316422,2243103,2163735,2088582,2043883,2029056,2052888,2082673,2090973,2055540,1978698,1899255,1793390,1711884,1662899,1651269,1671109,1714089,1767832,1813909,1844524,1853437,1826108,1779836,1729504,1682748,1630159,1550478,1464013,1389826,1294946,1209141,1173575,1172580,1157242,1161061,1182659,1188744,1175485,1165745,1163325
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","15 - 19세",2384182,2378013,2343977,2286198,2242817,2226838,2240935,2272313,2308439,2342692,2358183,2341468,2289382,2215342,2134720,2062442,2017721,2010189,2030805,2070863,2088473,2062556,1987021,1876518,1765454,1680219,1630004,1621106,1637309,1683355,1740377,1788329,1821378,1842937,1821485,1779769,1728466,1684718,1632747,1554471,1470638,1397832,1307326,1216561,1179762,1178494,1163864,1162932
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","20 - 24세",1903754,1992601,2078090,2180617,2235847,2244086,2218868,2185328,2179523,2161770,2144822,2160951,2237534,2282016,2319533,2331611,2310177,2259595,2194125,2111495,2034268,1992175,1989852,2025970,2066245,2087878,2056353,1969021,1874314,1772836,1695754,1658347,1654707,1678222,1734689,1794501,1844096,1877884,1903218,1882066,1860305,1823024,1779560,1711730,1620221,1527109,1453821,1362916
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","25 - 29세",1407774,1485232,1584377,1692645,1790014,1893189,1992653,2092942,2140451,2184804,2215868,2215298,2222615,2189388,2165343,2159527,2177475,2210162,2222172,2258208,2261150,2252178,2232158,2179040,2098801,2036930,1992129,1981697,2024586,2073207,2096715,2071602,1989754,1909497,1808875,1734720,1714497,1730403,1739228,1791765,1868033,1924269,1949923,1961366,1932353,1892488,1844475,1804583
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","30 - 34세",1215645,1270576,1320116,1353919,1398963,1460106,1540638,1626661,1726765,1810698,1921027,2023780,2123583,2187801,2232004,2247695,2234505,2204571,2187039,2172352,2148305,2150092,2176913,2213068,2255001,2285705,2279293,2240142,2180616,2109088,2045263,1992214,2000527,2049481,2094985,2111042,2096735,2015092,1922760,1825165,1764834,1743237,1745712,1743512,1789545,1851469,1897055,1927427
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","35 - 39세",1177062,1174643,1168846,1170953,1192121,1232128,1282221,1314595,1341391,1383009,1406584,1453648,1562784,1679109,1787559,1900657,2009543,2095913,2148707,2198346,2210902,2199114,2180572,2166558,2153573,2142489,2166489,2184835,2228330,2273836,2309682,2289453,2252710,2181088,2101052,2028863,1982864,2004556,2044466,2089929,2114600,2095902,1999740,1905313,1802970,1729806,1702785,1712306
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","40 - 44세",1047568,1083740,1110891,1137936,1163656,1172788,1168830,1165918,1165761,1176211,1201983,1241917,1268797,1301987,1332496,1366473,1426899,1527547,1641684,1742628,1853383,1964249,2045158,2113646,2169132,2201473,2192667,2165148,2139138,2130204,2117845,2164790,2192383,2240870,2279295,2305325,2286346,2248961,2160777,2083256,2021308,1970422,1979773,2018734,2062680,2078374,2055324,1969414
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","45 - 49세",747213,797311,859667,919177,965593,1007134,1043789,1073822,1099493,1123269,1132978,1127174,1100340,1095429,1107613,1140436,1184655,1225938,1266396,1301587,1330322,1383436,1483122,1598458,1697943,1812161,1924199,2000124,2089417,2142938,2196142,2184842,2166821,2133627,2124531,2089888,2169125,2199587,2241597,2278705,2308830,2280977,2225868,2136552,2058849,1992320,1940538,1960711
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","50 - 54세",587255,594640,607140,630060,666215,710345,760825,814133,863615,911411,957429,997839,1001442,1024861,1049469,1058595,1053212,1045400,1040241,1060928,1099849,1149801,1194103,1224816,1261221,1292202,1341081,1436212,1554676,1648729,1770211,1887016,1972536,2085550,2136013,2190098,2180821,2165419,2112259,2107628,2075419,2159754,2177535,2219745,2254036,2277834,2246290,2202213
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","55 - 59세",498041,518057,528205,529106,530231,535138,546814,564617,586187,618856,657283,698631,739200,788855,832888,873455,907157,932110,947145,970309,980344,979909,981156,990089,1012176,1047715,1095353,1136993,1174921,1212829,1251007,1297637,1397202,1519137,1608745,1719950,1841582,1932408,2054239,2102223,2164174,2147149,2121562,2067112,2063993,2030226,2111153,2136360
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","60 - 64세",359231,369793,382208,391953,405033,421952,437544,449283,456346,460271,465153,475876,493103,515094,545528,581164,622405,670698,719920,763853,799938,828732,852303,875583,901451,920359,923453,928692,930455,951179,986275,1035802,1083119,1126838,1164089,1195750,1243960,1345931,1466124,1554982,1668124,1787518,1876783,1999078,2040622,2099546,2077911,2057110
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","65 - 69세",251992,256937,263454,271107,279657,287396,294903,303471,314236,328403,346607,367064,375468,379487,384640,393008,406538,424965,449576,477897,512154,551423,595086,637330,676884,711353,740526,764040,788456,822884,855346,861451,871002,863928,883241,908072,958234,1009632,1059400,1098706,1132243,1177211,1280138,1394539,1477973,1585219,1700710,1786562
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","70 - 74세",142897,154087,162400,168560,175629,181807,188216,197029,201682,208766,215339,222274,234292,242700,254547,269882,285254,297065,305777,313712,323974,337200,353411,371625,396315,425721,457420,494667,534440,571360,604560,637772,664268,689761,733285,775208,783053,796175,780645,800334,825893,876494,928928,975476,1015098,1050102,1092815,1190740
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","75 - 79세",72632,71238,73846,76421,83840,89588,96046,103369,105534,109645,115578,119565,132365,140919,146260,149838,154503,162677,171472,181842,192944,204497,215420,224127,232732,241516,252637,265655,281091,301667,326089,353244,386793,422066,454917,485151,518840,546349,573514,620799,663906,672113,685809,675802,699025,726761,773988,822910
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","80세이상",41054,43676,44868,44989,46448,48339,51674,53778,56819,60044,63424,66977,79732,83735,87926,92281,96841,101634,115106,121101,125965,130272,135869,146152,158316,170466,183498,196454,209355,222509,236572,254016,271770,288632,310273,335074,363446,396492,438712,482218,524710,576516,626047,676916,746719,812128,851910,894037
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","80 - 84세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95912,102574,110728,119483,128928,137401,144246,150705,157822,167548,178050,189129,204670,222240,241136,266996,299295,328523,355506,387167,412934,438039,480093,517770,526011,538403
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","85 - 89세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31792,34821,38111,40967,43798,46981,51536,56685,61896,67954,72981,76453,79849,83433,90390,96002,104270,115958,128236,143004,162714,184365,205105,225017,247185,265468
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","90 - 94세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7115,7634,8266,8674,9341,10493,11788,13145,14740,16099,17855,19834,22157,25415,27414,28260,29319,30906,32865,37779,41611,45641,51870,58645,66452,76720
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","95 - 99세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,966,1026,1092,1205,1287,1411,1607,1784,1908,2178,2615,2917,3268,3632,4108,4790,5352,6289,7505,7776,7927,7979,8615,9452,11019,12215
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","남자","100세 이상",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,97,119,137,144,168,178,190,206,237,269,299,329,354,398,444,476,542,598,790,861,892,1036,1244,1243,1231
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","계",18331931,18604875,18888039,19187568,19488960,19781283,20030781,20230144,20441677,20661710,20876021,21091649,21301102,21511790,21734307,21952074,22169044,22387662,22600169,22805488,22990776,23158840,23341342,23515193,23653359,23771458,23871779,23941327,24068731,24192448,24383060,24533494,24672998,24866771,25012473,25143574,25301582,25429053,25546854,25625118,25727369,25816116,25910542,25887071,25837747,25808326,25785360,25764584
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","0 - 4세",1984224,1943823,1946316,1965926,1982810,1983512,1928889,1850484,1756018,1662889,1589371,1554953,1516056,1526977,1555810,1590381,1624254,1651828,1663666,1651248,1623310,1582587,1543635,1503900,1432527,1354562,1290396,1209243,1132710,1106072,1110359,1098912,1098975,1121917,1130292,1121025,1115412,1114488,1091563,1048855,993553,940411,865365,787402,722167,669679,625977,598709
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","5 - 9세",2217987,2200879,2143991,2087082,2014610,1960725,1930173,1920797,1943319,1973804,1986263,1943648,1852140,1752238,1650813,1569336,1520622,1502462,1498797,1533243,1574956,1616434,1644256,1651084,1636050,1608093,1568853,1534686,1494147,1420331,1340216,1277896,1197359,1121978,1096153,1100229,1088920,1089368,1113571,1120380,1112018,1107062,1109604,1086906,1044765,987296,930160,855624
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","10 - 14세",2112864,2121796,2152817,2189989,2227852,2238445,2221479,2174920,2104741,2029553,1958843,1917603,1897852,1922314,1951674,1959321,1922959,1845673,1756467,1645640,1559495,1501670,1478713,1485477,1517638,1557566,1595626,1620883,1630271,1613410,1588438,1554630,1526961,1489332,1418881,1339075,1276349,1193740,1118166,1090502,1094811,1084319,1089908,1113957,1121016,1111210,1104413,1105226
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","15 - 19세",2219836,2209512,2175712,2125736,2088285,2077982,2098219,2135464,2173491,2207280,2223167,2209053,2152632,2081699,2004038,1934137,1891953,1886759,1922711,1960903,1972151,1936599,1855411,1739011,1625789,1536701,1478831,1458955,1465976,1500646,1541647,1580489,1607415,1625599,1614091,1593281,1561263,1537550,1499457,1427984,1349367,1288144,1210892,1129343,1099053,1103101,1093354,1094877
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","20 - 24세",1840020,1943918,2015317,2083708,2134522,2149399,2128638,2089009,2066122,2046142,2032746,2047375,2104873,2147005,2184965,2199686,2180962,2132031,2053328,1966071,1903816,1861266,1864530,1907265,1945084,1957691,1914220,1819759,1712887,1607722,1531096,1494654,1484342,1497451,1534260,1576405,1613309,1634084,1656631,1647591,1637892,1616028,1612791,1567147,1479419,1387074,1318269,1234511
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","25 - 29세",1319532,1377009,1488420,1607206,1709435,1820376,1924720,2004949,2065715,2106788,2130915,2127003,2104134,2074617,2051475,2044119,2059594,2090548,2122321,2166011,2179897,2166175,2120755,2045556,1965788,1904500,1861144,1862130,1902550,1945164,1959552,1929488,1844351,1755305,1655989,1580535,1544633,1539051,1540583,1576396,1625029,1663507,1695619,1711356,1691899,1670135,1638650,1617979
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","30 - 34세",1140313,1175924,1205098,1241977,1283330,1327562,1396598,1462611,1617868,1718664,1835282,1942221,2011119,2071235,2113010,2129033,2118539,2092150,2070461,2039837,2013992,2031533,2071079,2119019,2166319,2187307,2171339,2120294,2045655,1969823,1909544,1864224,1877257,1917946,1963703,1975213,1948719,1856510,1765495,1666377,1595783,1563225,1562091,1558883,1590674,1632175,1664448,1686158
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","35 - 39세",1133578,1125482,1110719,1098311,1105974,1137114,1180667,1237597,1222938,1264675,1296670,1352324,1479545,1594562,1701514,1811408,1915369,1996138,2055375,2114453,2147046,2125831,2092507,2062407,2033933,2012361,2049533,2082502,2133591,2175204,2200297,2177509,2134326,2060239,1986641,1920853,1871522,1887544,1920219,1964371,1981010,1955867,1867239,1773293,1671165,1592623,1555258,1550013
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","40 - 44세",1021777,1049028,1067679,1088526,1110551,1116252,1107894,1096983,1094033,1106082,1135674,1177254,1208951,1243808,1275865,1310383,1369828,1467844,1575793,1662595,1772055,1895918,1975280,2041639,2102133,2140853,2119774,2083152,2044892,2026553,2017430,2079435,2113987,2168151,2204694,2222650,2193282,2149420,2069252,1995148,1930092,1877437,1892398,1922568,1966262,1977032,1948039,1858272
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","45 - 49세",835910,862564,896421,932094,962786,994652,1022682,1045518,1067449,1088249,1097349,1092071,1066369,1060037,1072672,1106197,1150796,1192966,1211896,1252000,1282892,1332659,1438321,1562163,1648190,1756981,1877912,1957973,2050067,2105846,2158522,2136420,2104888,2057463,2048855,2035425,2125961,2154449,2200173,2228237,2244349,2206645,2159864,2074336,1998180,1929560,1875630,1891398
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","50 - 54세",674345,694651,717786,746556,777972,807529,839392,872627,908413,941455,970137,997147,1020272,1041324,1061757,1067472,1058177,1045311,1034625,1042467,1074104,1120450,1171759,1202721,1244370,1276020,1322985,1425679,1551725,1638383,1753805,1874127,1961827,2078358,2127006,2174567,2153964,2123620,2058038,2056212,2046854,2138136,2160734,2203458,2227687,2239207,2199435,2152669
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","55 - 59세",549123,579312,602630,615134,628849,646509,668597,693961,720283,750876,784223,817967,850304,885534,916315,946810,974738,995816,1014089,1041013,1048696,1036565,1025233,1018848,1028871,1057727,1101585,1148617,1188503,1228668,1267806,1314068,1420113,1546118,1633180,1737360,1857434,1951809,2080676,2123676,2176334,2148244,2115505,2044423,2042287,2030851,2120648,2141731
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제순이동-중위)","여자","60 - 64세",433835,441973,453668,468221,488143,513822,540057,561022,578822,595683,614469,635925,663628,690840,721916,751807,781897,817825,867689,895248,924350,950969,964753,984412,1013969,1030288,1023359,1017483,1003285,1012370,1038323,1081239,1128921,1176122,1213715,1247802,1297261,1404900,1528218,1615386,1720944,1840431,1937587,2065385,2103576,2152660,2122176,2086412
